English;Português;简体中文;繁體中文
Hey, kid! Just curious, what's your favorite critter? Well, for me, it's <style="LYellow">Bees.;Ei, jovem! Só por curiosidade, qual é a sua criatura favorita? Bem, para mim, são as <style="LYellow">Abelhas</style>.;嘿，孩子！我有点好奇，你最喜欢的小动物是什么？对我来说，是<style="LYellow">蜜蜂</style>。;嘿，孩子！我有點好奇，你最喜歡的小動物是什麼？對我來說，是<style="LYellow">蜜蜂</style>。
I reckon they're something special, the way they all pitch in together.;Acho que elas são algo de especial, na maneira como todas trabalham em cooperação.;我觉得它们很特别，因为它们总是齐心协力。;我覺得它們很特別，因為它們總是齊心協力。
Say, since you're doin' such a bang-up job fillin' that <b><style="LYellow">Bestiary</style></b>, here's an offer for ya:;Já que está a fazer um trabalho tão bom a preencher esse <b><style="LYellow">Bestiário</style></b>, aqui está uma oferta para si:;嘿，既然你写<b><style="LYellow">图鉴</style></b>写得这么出色，我有个提议给你：;嘿，既然你寫<b><style="LYellow">圖鑑</style></b>寫得這麼出色，我有個提議給你：
If you manage to fill it up completely, I'll teach you all there is to know about <style="LYellow">Bees.;Se conseguir preenchê-lo completamente, vou ensinar-lhe tudo o que há para saber sobre <style="LYellow">Abelhas.;如果你能把它完全填满，我就教你所有关于<style="LYellow">蜜蜂</style>的知识。;如果你能把它完全填滿，我就教你所有關於<style="LYellow">蜜蜂</style>的知識。
Yep, including how to <style="LYellow">tame</style> 'em! What do you say to that?;Sim, incluindo como <style="LYellow">domá-las</style>! O que acha?;没错，包括如何<style="LYellow">驯服</style>它们！你觉得怎么样？;沒錯，包括如何<style="LYellow">馴服</style>它們！你覺得怎麼樣？
You've gone and done it! <b><style="LYellow">The Bestiary</style></b> is filled to the brim!;Conseguiu! <b><style="LYellow">O Bestiário</style></b> está completamente preenchido!;你做到了！<b><style="LYellow">图鉴</style></b>已经填得满满当当！;你做到了！<b><style="LYellow">圖鑑</style></b>已經填得滿滿當當！
Just as I promised, it's time for a lesson on <style="LYellow">Bees</style>! Gather 'round, and I'll tell you everything there is to know!;Como prometido, é hora de uma lição sobre <style="LYellow">Abelhas</style>! Junte-se, e vou contar-lhe tudo o que há para saber!;就像我承诺的那样，现在是时候上一堂关于 <style="LYellow"> 蜜蜂</style> 的课了！过来，我会告诉你所有你需要知道的事情！;就像我承諾的那樣，現在是時候上一堂關於 <style="LYellow"> 蜜蜂</style> 的課了！過來，我會告訴你所有你需要知道的事情！
Say what young man? You've found a weird looking animal?;Diga jovem? Encontrou um animal de aparência estranha?;你说什么，年轻人？你发现了一种长相奇怪的动物？;你說什麼，年輕人？你發現了一種長相奇怪的動物？
Exotic colors? Hmmmm... I do recall reading something regarding that back in the day;Cores exóticas? Hmmmm... Lembro-me de ter lido algo sobre isso no meu tempo;颜色很奇特？嗯嗯…… 我确实记得以前读过一些相关的资料。;顏色很奇特？嗯嗯…… 我確實記得以前讀過一些相關的資料。
If I'm not mistaken they are called <style="LYellow"><sprite name="Shiny"> Shiny</style> animals;Se não me engano, são chamados de animais <style="LYellow"><sprite name="Shiny"> Radiantes</style>;如果我没记错的话，它们被称为<style="LYellow"><sprite name="Shiny"> 稀有动物</style>。;如果我沒記錯的話，它們被稱為<style="LYellow"><sprite name="Shiny"> 稀有動物</style>。
I guess you are really lucky youngin'. Those are quite rare to find, some archeologists live for them;É um jovem bastante sortudo. Eles são bastante raros de encontrar, alguns arqueólogos até vivem só para isso;我想你真的很幸运，年轻人。这些动物非常罕见，有些考古学家一生都在寻找它们。;我想你真的很幸運，年輕人。這些動物非常罕見，有些考古學家一生都在尋找它們。
Well if you find more just come tell me about how they looked like and I'll keep track of them;Bem, se encontrar mais, venha contar-me como eram e eu farei o registo deles;如果你找到更多，就来告诉我它们的样子，我会记录下来。;如果你找到更多，就來告訴我它們的樣子，我會記錄下來。
Oh so you actually did it! <style="LYellow">100</style> Individuals of <style="LYellow">5</style> different species uh?;Oh, então realmente conseguiu! <style="LYellow">100</style> indivíduos de <style="LYellow">5</style> espécies diferentes!;哦，你真的做到了！<style="LYellow">100</style>只<style="LYellow">5</style>种不同的物种，对吧？;哦，你真的做到了！<style="LYellow">100</style>只<style="LYellow">5</style>種不同的物種，對吧？
Just as I promised! I'm gonna give you your reward...;Como prometido! Vou dar-lhe a recompensa...;正如我承诺的！我会给你奖励……;正如我承諾的！我會給你獎勵……
There's a slight issue, however. I left the reward back in the city... So I can't give it right now.;No entanto, há um pequeno problema. Deixei a recompensa na cidade... Então não consigo dar-lhe agora.;不过有个小问题。我把奖励落在城里了……所以现在没法给你。;不過有個小問題。我把獎勵落在城裡了……所以現在沒辦法給你。
But I'm already on it. I've called a <style="LYellow">friend</style>, he will bring it here, so no worries.;Mas já estou a tratar disso. Vou chamar um <style="LYellow">amigo</style>, ele vai trazê-la para cá, então não se preocupe.;但我已经在处理了。我叫了一个<style="LYellow">朋友</style>，他会把奖励带过来，所以别担心。;但我已經在處理了。我叫了一個<style="LYellow">朋友</style>，他會把獎勵帶過來，所以別擔心。
Yooo how's it going man? Word is spreading that this is the hottest spot in the <style="LYellow">Campsite</style>. I came here to check by myself.;Yooo, mékie? Está a espalhar-se a notícia de que este é o lugar mais baril do <style="LYellow">Acampamento</style>. Vim aqui verificar com os meus próprios olhos.;哟，最近怎么样，老兄？听说这里是<style="LYellow">营地</style>最热门的地方。我亲自来看看。;喲，最近怎麼樣，老兄？聽說這裡是<style="LYellow">營地</style>最熱門的地方。我親自來看看。
Gotta admit... I'm <i>hooked</i> - you've made some solid investments! But hey, let me float this idea past ya...;E tenho que admitir... <i>Fisgou-me</i> à séria- fizeste investimentos sólidos! Mas olha, deixa-me flutuar esta ideia para ti...;我得承认……我<i>上瘾了</i>——你做了些不错的投资！不过，嘿，让我跟你提个想法……;我得承認……我<i>上癮了</i>——你做了些不錯的投資！不過，嘿，讓我跟你提個想法……
What if... stay with me here... you could reel in <style="LYellow">embers</style> without struggling? Genius right?;E se... ouve bem... pudesses arrecadar <style="LYellow">brasas</style> sem esforço? Genial, ou não?;如果……听我说……你可以毫不费力地赚取<style="LYellow">余烬</style>呢？天才的想法，对吧？;如果……聽我說……你可以毫不費力地賺取<style="LYellow">餘燼</style>呢？天才的想法，對吧？
A place where you could play <style="LYellow">minigames</style> for <style="LYellow">embers</style>, of course, if you are skilled at it, they are basically guaranteed.;Num lugar onde pudesses jogar <style="LYellow">minijogos</style> por <style="LYellow">brasas</style>, se fores habilidoso, elas são basicamente garantidas.;一个你可以通过玩<style="LYellow">小游戏</style>赚取<style="LYellow">余烬</style>的地方，当然，如果你技术好，基本上稳赚不赔。;一個你可以通過玩<style="LYellow">小遊戲</style>賺取<style="LYellow">餘燼</style>的地方，當然，如果你技術好，基本上穩賺不賠。
I got some connections to make this project run! Only thing is... ehh... you're a little low in the ember department right now and my reputation is on the line, you know?;Tenho algumas conexões para fazer este projeto funcionar! A única coisa é... ehh... estás um pouco em falta no que toca a brasas e a minha reputação está em jogo, percebes?;我有一些人脉可以让这个项目启动！唯一的问题是……呃……你现在余烬有点少，而我的声誉也岌岌可危，你懂吗？;我有一些人脈可以讓這個項目啟動！唯一的問題是……呃……你現在餘燼有點少，而我的聲譽也岌岌可危，你懂嗎？
So what if you came back when you have atleast <style="LYellow"><sprite name="Ember"> 250000 embers</style>? Then we could really make some <i>waves</i> uh?;Então porque não voltas quando tiveres pelo menos <style="LYellow"><sprite name="Ember"> 250000 brasas</style>? Aí sim poderíamos realmente fazer os investidores morder o <i>anzol</i>, uh?;所以，如果你带着至少<style="LYellow"><sprite name="Ember"> 250,000 余烬</style>回来，我们就能真正掀起一些<i>波澜</i>，对吧？;所以，如果你帶著至少<style="LYellow"><sprite name="Ember"> 250,000 餘燼</style>回來，我們就能真正掀起一些<i>波瀾</i>，對吧？
So, got those <style="LYellow">embers</style> stacked up yet?;Então, já poupaste essas <style="LYellow">brasas</style>?;那么，你已经攒够<style="LYellow">余烬</style>了吗？;那麼，你已經攢夠<style="LYellow">餘燼</style>了嗎？
Hmm? No? Oh, c'mon, you really need to <i>scale</i> up your game!;Hmm? Não? Oh, vá lá, não me venhas com conversas de <i>pescador</i>!;嗯？没有？哦，拜托，你真的需要<i>提升</i>你的游戏水平了！;嗯？沒有？哦，拜託，你真的需要<i>提升</i>你的遊戲水平了！
Come back when you are pocket <style="LYellow"><sprite name="Ember"> 250000 embers.;Volta quando tiveres <style="LYellow"><sprite name="Ember"> 250000 brasas</style> no bolso.;等你口袋里有了<style="LYellow"><sprite name="Ember"> 250,000 余烬</style>再来吧。;等你口袋裡有了<style="LYellow"><sprite name="Ember"> 250,000 餘燼</style>再來吧。
Oh you came to chat? Just go get your <style="LYellow">embers</style> man, I won't go anywhere you know?;Oh, vieste conversar? Vai masé buscar as tuas <style="LYellow">brasas</style>, que eu não vou a lado nenhum!;哦，你是来聊天的？快去赚你的<style="LYellow">余烬</style>吧，你知道我不会跑掉的，对吧？;哦，你是來聊天的？快去賺你的<style="LYellow">餘燼</style>吧，你知道我不會跑掉的，對吧？
<style="LYellow"><sprite name="Ember"> 250000</style> will be enough for you to not embarrass me infront of the investors;<style="LYellow"><sprite name="Ember"> 250000</style> serão suficientes para não me envergonhares à frente dos investidores;<style="LYellow"><sprite name="Ember"> 250,000</style> 就足够让你不在投资者面前丢我的脸了。;<style="LYellow"><sprite name="Ember"> 250,000</style> 就足夠讓你不在投資者面前丟我的臉了。
Look man, I won't even take your <style="LYellow">embers</style> away, I just gotta show the investors that you aren't a nobody, you know?;Olha, eu nem vou exigir dares-me as <style="LYellow">brasas</style>, só preciso de mostrar aos investidores que não és um zé-ninguém, entendes?;听着，老兄，我甚至不会拿走你的<style="LYellow">余烬</style>，我只是需要向投资者证明你不是无名小卒，懂吗？;聽著，老兄，我甚至不會拿走你的<style="LYellow">餘燼</style>，我只是需要向投資者證明你不是無名小卒，懂嗎？
That's why you need a good net worth value. Not so tough right? So go ahead and <i>reel</i> them all in!;É por isso que precisas de um bom valor. Não é tão difícil, certo? Então vai lá e <i>pesca</i> elas todas!;这就是为什么你需要一个好的净资产值。不难吧？所以快去把它们都<i>赚到手</i>吧！;這就是為什麼你需要一個好的淨資產值。不難吧？所以快去把它們都<i>賺到手</i>吧！
OOOHH, I can smell it! I know exactly what's hiding in that pocket of yours - <style="LYellow"><sprite name="Ember"> 250,000 Embers!;OOOHH, consigo cheirá-las! Sei exatamente o que está escondido nesse teu bolso - <style="LYellow"><sprite name="Ember"> 250,000 Brasas!;哦哦哦，我闻到了！我知道你口袋里藏着什么——<style="LYellow"><sprite name="Ember"> 250,000 余烬</style>！;哦哦哦，我聞到了！我知道你口袋裡藏著什麼——<style="LYellow"><sprite name="Ember"> 250,000 餘燼</style>！
Finally, we can take this to the next level! You got cash, I got connections, talk about the perfect duo, am I right?;Finalmente, podemos levar isto para a próxima <i>remada</i>! Tu tens o dinheiro, eu tenho as conexões, dupla perfeita já viste?;终于，我们可以更上一层楼了！你有钱，我有人脉，简直是完美搭档，对吧？;終於，我們可以更上一層樓了！你有錢，我有人脈，簡直是完美搭檔，對吧？
Alright, alright, lemme just make a quick call.;Bom ok ok, deixa-me só fazer uma chamada rápida.;好啦，好啦，让我先打个电话。;好啦，好啦，讓我先打個電話。
<i>hm... exactly... hm hm... hm hm...</i>;<i>hm... exatamente... hm hm... hm hm...</i>;<i>嗯…… 没错…… 嗯嗯…… 嗯嗯……</i>;<i>嗯…… 沒錯…… 嗯嗯…… 嗯嗯……</i>
aaand we're golden! All set up! They work quite fast uh?;E estamos prontos! Tudo montado! Eles trabalham bem rápido, uh?;好了，一切顺利！都安排好了！他们动作还挺快的，是吧？;好了，一切順利！都安排好了！他們動作還挺快的，是吧？
Heyyy, wanna hit the casi... wait a second... something's <i>fishy</i> here... where are your <style="LYellow">embers?!;Heyyy, queres ir ao casi... espera lá... algo está estranho aqui... onde é que foram as tuas <style="LYellow">brasas?!;嘿，想去娱乐场……等等……有点<i>不对劲</i>……你的<style="LYellow">余烬</style>呢？！;嘿，想去娛樂場……等等……有點<i>不對勁</i>……你的<style="LYellow">餘燼</style>呢？！
Don't tell me you are broke now! GAGAGAGA!!;Não me digas que estás falido agora! GAGAGAGA!!;别告诉我你现在身无分文了！嘎嘎嘎嘎！！;別告訴我你現在身無分文了！嘎嘎嘎嘎！！
Look men I hate to be that guy but I can't let you through if you don't have more than <style="LYellow"><sprite name="Ember"> 250K embers</style> with you;Olha, odeio ser esta pessoa, mas não posso deixar-te passar se não tiveres mais de <style="LYellow"><sprite name="Ember"> 250K brasas</style> contigo;听着，老兄，我也不想当那个坏人，但如果你身上没有超过 <style="LYellow"><sprite name="Ember"> 25 万枚余烬</sprite></style> ，我不能让你进去。;聽著，老兄，我也不想當那個壞人，但如果你身上沒有超過 <style="LYellow"><sprite name="Ember"> 25 萬枚餘燼</sprite></style> ，我不能讓你進去。
Heyyy, wanna hit the casi... wait a second... something's <i>fishy</i> here... where are your embers?!;Heyyy, queres ir ao casi... espera um segundo... algo está aqui... onde estão as tuas brasas?!;嘿呀，想去赌…… 等一下…… 有点 <i>不对劲</i>…… 你的余烬去哪儿了？！;嘿呀，想去賭…… 等一下…… 有點 <i>不對勁</i>…… 你的餘燼去哪裡了？！
But hey, you know that <sprite name="Rowl">  <style="LYellow">guy</style> over there? I always see you giving him <style="LYellow">embers</style>. Just go there and take them back no?;Mas olha, sabes aquele <sprite name="Rowl">  <style="LYellow">gajo</style> ali? Vejo-te sempre a trocar <style="LYellow">brasas</style> com ele. Vai lá e pega-as de volta, não?;不过，嘿，你知道那边那个 <sprite name="Rowl"> <style="LYellow"> 家伙</style> 吗？我总看到你给他 <style="LYellow"> 余烬</style> 。你就过去把余烬拿回来不就行了？;不過，嘿，你知道那邊那個 <sprite name="Rowl"> <style="LYellow"> 傢伙</style> 嗎？我總看到你給他 <style="LYellow"> 餘燼</style> 。你就過去把餘燼拿回來不就行了？
What? My embers? Why would you say that?;O quê? As minhas brasas? Por que farias uma coisa dessas?;什么？我的余烬？你为什么这么说？;什麼？我的餘燼？你為什麼這麼說？
I've put blood sweat and tears into making this <style="LYellow">campfire</style> perfect, you can't take that away from me!;Coloquei sangue, suor e lágrimas para tornar esta <style="LYellow">fogueira</style> no que é, não podes tirar isso de mim!;我为了把这个 <style="LYellow"> 营火</style> 弄得完美，可是付出了血汗和泪水，你不能把它从我这儿夺走！;我為了把這個 <style="LYellow"> 營火</style> 弄得完美，可是付出了血汗和淚水，你不能把它從我這裡奪走！
Hey kid, I don't mean to be rude but this is just how the business works, you know?;Hey miúdo, não quero ser rude mas é assim que os negócios funcionam, sabes?;嘿，孩子，我不是故意要无礼，但这就是生意场上的规矩，你懂的吧？;嘿，孩子，我不是故意要無禮，但這就是生意場上的規矩，你懂的吧？
Hmm, yes, maybe this paired with a few pendants... perfection!;Hmm, sim, talvez isto combinado com alguns pendentes... perfeito!;嗯，没错，也许这个再搭配上几个吊坠…… 就完美了！;嗯，沒錯，也許這個再搭配上幾個吊墜…… 就完美了！
Oh, hello there! I was just sketching some fresh outfit ideas, you know how it is;Oh, olá! Estava apenas a esboçar algumas ideias de roupas novas, sabes como é;哦，你好呀！我刚刚在构思一些新的服装创意，你懂的。;哦，你好呀！我剛剛在構思一些新的服裝創意，你懂的。
Fashion is simply everything to me, and being out in the wilds, surrounded by nature, just fuels my creativity!;A moda é simplesmente tudo para mim, e estar aqui a acampar, rodeado pela natureza, apenas alimenta a minha criatividade!;时尚对我来说就是一切，而在野外，被大自然包围，更是激发了我的创造力！;時尚對我來說就是一切，而在野外，被大自然包圍，更是激發了我的創造力！
Oh, but where are my manners? I didn't even introduce myself;Oh, mas onde estão os meus modos? Nem me apresentei;哦，我真是太失礼了！我甚至还没自我介绍呢。;哦，我真是太失禮了！我甚至還沒自我介紹呢。
My name's <style="LYellow">Cloris</style>, darling. If you need anything - fashion tips, perhaps - just give me a call;O meu nome é <style="LYellow">Cloris</style> querido. Se precisares de alguma coisa - dicas de moda, talvez - basta chamar-me;我叫<style="LYellow">克洛里斯</style>，亲爱的。如果你需要什么——比如时尚建议——尽管叫我。;我叫<style="LYellow">克洛里斯</style>，親愛的。如果你需要什麼——比如時尚建議——儘管叫我。
I'll be around, grazing and glamorizing!;Estarei por aí, pastando e espalhando o glamour!;我会在附近的，一边闲逛一边追求时尚！;我會在附近的，一邊閒逛一邊追求時尚！
Ah, I'm so glad you came to chat!;Ah, estou tão feliz que vieste conversar!;啊，我真高兴你过来聊天了！;啊，我真高興你過來聊天了！
Listen closely - I've been pondering something rather... daring;Ouve com atenção - tenho ponderado algo bastante... ousado;仔细听好 —— 我一直在琢磨一件相当…… 大胆的事情。;仔細聽好 —— 我一直在琢磨一件相當…… 大膽的事情。
Why should fashion be limited to us animals, hmm?;Porque é que a moda tem de ser limitada a nós animais, hmm?;为什么时尚只能局限于我们动物呢，嗯？;為什麼時尚只能局限於我們動物呢，嗯？
You see that little happy <style="LYellow">campfire</style> over there?;Vês aquela pequena <style="LYellow">fogueira</style> ali?;你看到那边那个快乐的小<style="LYellow">营火</style>了吗？;你看到那邊那個快樂的小<style="LYellow">營火</style>了嗎？
What if... I could style it? Give it a new color, accessorize it, or even reshape its form entirely!;E se... eu pudesse estilizá-la? Dar-lhe uma nova cor, acessórios, ou até mesmo remodelar a sua forma completamente!;如果……我可以为它设计造型呢？给它换个颜色，加点配饰，甚至完全重塑它的形状！;如果……我可以為它設計造型呢？給它換個顏色，加點配飾，甚至完全重塑它的形狀！
Turning flames into fashion, now that's an interesting idea, don't you think?;Transformar fogo em moda, isso sim é uma ideia interessante, não achas?;将火焰变成时尚，这是个有趣的想法，你不觉得吗？;將火焰變成時尚，這是個有趣的想法，你不覺得嗎？
Just as I like to say, fashion knows no boundaries;Assim como gosto de dizer, a moda não conhece limites;正如我喜欢说的，时尚无界限。;正如我喜歡說的，時尚無界限。
Darling, fashion isn't just about looking fabulous. It's transformative!;Querido, a moda não é apenas sobre parecer fabuloso. É transformadora!;亲爱的，时尚不仅仅是看起来华丽。它是具有变革力量的！;親愛的，時尚不僅僅是看起來華麗。它是具有變革力量的！
What we wear can alter how we feel, how we move - even how we think!;O que vestimos pode alterar como nos sentimos, como nos movemos - até mesmo como pensamos!;我们穿什么可以改变我们的感受、我们的行动——甚至我们的思维！;我們穿什麼可以改變我們的感受、我們的行動——甚至我們的思維！
A bold outfit can inspire confidence, while something cozy makes you feel at ease;Uma roupa ousada pode inspirar confiança, enquanto algo confortável faz-te sentir relaxado;一身大胆的穿搭可以激发自信，而舒适的穿着则会让你感到自在。;一身大膽的穿搭可以激發自信，而舒適的穿著則會讓你感到自在。
And this goes both ways you know? Our behaviour also influences what we decide to wear;E isso funciona nos dois sentidos, sabes? O nosso comportamento também influencia o que decidimos vestir;而且你知道吗，这是相互的？我们的行为也会影响我们选择穿什么。;而且你知道嗎，這是相互的？我們的行為也會影響我們選擇穿什麼。
Now imagine using this concept on our little <style="LYellow">campfire</style>. Fashion and behaviour, darling - They're inseparable, even for a fire!;Agora imagina usar este conceito na nossa pequena <style="LYellow">fogueira</style>. Moda e comportamento querido - São inseparáveis, mesmo para uma fogueira!;现在想象一下，把这个概念用在我们的小<style="LYellow">营火</style>上。时尚和行为，亲爱的——它们是不可分割的，即使对火焰也是如此！;現在想像一下，把這個概念用在我們的小<style="LYellow">營火</style>上。時尚和行為，親愛的——它們是不可分割的，即使對火焰也是如此！
I've cracked the code darling! Remember how fashion and behaviour are inseperable?;Descobri o código querido! Lembras-te de como disse que a moda e o comportamento são inseparáveis?;我找到窍门了，亲爱的！还记得时尚和行为是密不可分的吧？;我找到竅門了，親愛的！還記得時尚和行為是密不可分的吧？
Well, if our little <style="LYellow">fire</style> keeps using a <style="LYellow">certain skill</style> over and over then both his <style="LYellow">appearance</style> AND <style="LYellow">behaviour</style> will change;Bem, se a nossa pequena <style="LYellow">fogueira</style> continuar a usar uma certa <style="LYellow">habilidade</style> repetidamente, tanto a sua <style="LYellow">aparência</style> quanto o <style="LYellow">comportamento</style> mudarão;嗯，如果我们的小 <style="LYellow"> 火</style> 一遍又一遍地使用 <style="LYellow"> 某种技能</style> ，那么它的 <style="LYellow"> 外观</style> 和 <style="LYellow"> 行为</style> 都会发生变化。;嗯，如果我們的小 <style="LYellow"> 火</style> 一遍又一遍地使用 <style="LYellow"> 某種技能</style> ，那麼它的 <style="LYellow"> 外觀</style> 和 <style="LYellow"> 行為</style> 都會發生變化。
Just take a look!;Vem ver!;快来看看！;快來看看！
Whose idea should we follow?;Devíamos seguir a ideia de quem?;我们应该听谁的呢？;我們應該聽誰的呢？
Do you wish to continue your previous unfinished run?;Desejas continuar a partir da tua noite anterior?;你希望继续之前未完成的游戏吗？;你希望繼續之前未完成的遊戲嗎？
Uff... we finally got to an agreement!;Uff... finalmente chegámos a um acordo!;终于达成协议！;終於達成協議！
Now give me thos- hey! Wait a minute!;Agora entrega-me ess- Hey! Espera lá!;现在给我那些——等等！;現在給我那些——等等！
You don't even have the embers to take this deal!;Nem sequer tens brasas suficientes para aceitar este acordo!;你连交易的余烬都不够！;你連交易的餘燼都不夠！
Why would you lie to me?;Porque é que me haverias de mentir?;为什么要骗我？;為什麼要騙我？
Come back once you have enough embers to cover your words;Volta quando tiveres brasas suficientes para cobrir as tuas palavras;等你攒够余烬再来吧;等你攢夠餘燼再來吧
Counter offer to <sprite name=\"Ember\"> {0};Contra-oferta para <sprite name=\"Ember\"> {0};还价：<sprite name=\"Ember\"> {0};還價：<sprite name=\"Ember\"> {0}
Your previous offer was <sprite name=\"Ember\"> {0} out ouf <sprite name=\"Ember\"> {1};A oferta anterior foi <sprite name=\"Ember\"> {0} de <sprite name=\"Ember\"> {1};你之前的出价是<sprite name=\"Ember\"> {0}/<sprite name=\"Ember\"> {1};你之前的出價是<sprite name=\"Ember\"> {0}/<sprite name=\"Ember\">{1}
You have <sprite name=\"Ember\"> {0} in total;Tens <sprite name=\"Ember\"> {0} no total;你总共拥有<sprite name=\"Ember\"> {0};你總共擁有<sprite name=\"Ember\"> {0}
<size=80%>Ahm... Yes that.. I was just saying that... take them...;<size=80%>Ahm... Sim isso.. Eu estava a acabar de dizer isso... toma...;<size=80%>呃...那个...我是说...拿去吧...;<size=80%>呃...那個...我是說...拿去吧...
H-<size=80%>hey... can I tell you a bit... about this skill?...;H-<size=80%>ei... posso contar-te um pouco... sobre esta habilidade?...;嘿...<size=80%>能跟你说说...这个技能吗？...;嘿...<size=80%>能跟你說說...這個技能嗎？...
<size=80%>A few centuries ago... monks would concentrate their spirits... to release immolating waves just like these ones;<size=80%>Há uns séculos atrás... os monges concentravam os seus espíritos... para libertar ondas imolantes tal como estas;<size=80%>几百年前...僧侣们会凝聚精神...释放像这样的献祭波动...;<size=80%>幾百年前...僧侶們會凝聚精神...釋放像這樣的獻祭波動...
<size=80%>I bet that... if we maximized every possible aspect of it... we could come up with something... rather interesting...;<size=80%>Aposto que... se maximizarmos todos os aspetos... poderíamos criar algo... bastante interessante...;<size=80%>我打赌...如果我们把它每个方面都强化到极致...应该能发现...有趣的东西...;<size=80%>我打賭...如果我們把它每個方面都強化到極致...應該能發現...有趣的東西...
Oh I-<size=80%>I recognize this...;Oh eu-<size=80%>eu reconheço isto...;<size=80%>哦我...我认得这个...;<size=80%>哦我...我認得這個...
<size=80%>When I was a kid... I read a lot on a rogue wizard... that could transform normal fireballs into more... powerful versions...;<size=80%>Quando eu era um gatinho... li muito sobre um mago rebelde... que conseguia transformar bolas de fogo normais em versões mais... poderosas...;<size=80%>小时候...我读过关于一个 rogue wizard...能把普通火球变成...更强版本...;<size=80%>小時候...我讀過關於一個 rogue wizard...能把普通火球變成...更強版本...
<size=80%>Azureoth... that was his name I believe... he was so feared that not even the king could rule him...;<size=80%>Azureoth... creio ser esse o nome dele... ele era tão temido que nem mesmo o rei metia a mão nele...;<size=80%>阿祖罗斯...好像叫这个名字...他可怕到连国王都管不了...;<size=80%>阿祖羅斯...好像叫這個名字...他可怕到連國王都管不了...
<size=80%>It is said that... the ones who manage to handle the most powerful of fires... will be visited by him...;<size=80%>Dizem que... aqueles que conseguem dominar os fogos mais poderosos... receberão uma visita dele...;<size=80%>据说...能驾驭最强火焰的人...会得到他的造访...;<size=80%>據說...能駕馭最強火焰的人...會得到他的造訪...
<size=80%>As far as I can remember... that means being able to deal an astronomous <style="LYellow">50k <style="Red">damage</style></style>... in a single shot;<size=80%>Pelo que me lembro... isso significa ser capaz de causar um <style="Red">dano</style> astronômico de <style="LYellow">50k</style>... num único disparo;<size=80%>根据记载...这意味着要能单次造成惊人的<style="LYellow">5万点<style="Red">伤害</style></style>...;<size=80%>根據記載...這意味著要能單次造成驚人的<style="LYellow">5萬點<style="Red">傷害</style></style>...
<size=80%>It's a lot... I know... but it's a task that only the best of the best... can accomplish...;<size=80%>É muito... eu sei... mas é uma tarefa que apenas os melhores dos melhores... conseguem realizar...;<size=80%>很难...我知道...但只有最强者...才能做到...;<size=80%>很難...我知道...但只有最強者...才能做到...
T-<size=80%>this reminds me of an old story...;I-<size=80%>isto lembra-me uma velha história...;<size=80%>这...这让我想起个老故事...;<size=80%>這...這讓我想起個老故事...
<size=80%>Do you know about... the first Dragon invasion of Animalia?;<size=80%>Sabes sobre... a primeira invasão dos Dragões de Animalia?;<size=80%>你知道动物王国第一次遭遇巨龙入侵的历史吗？</size>;<size=80%>你知道動物王國第一次遭遇巨龍入侵的歷史嗎？</size>
<size=80%>It was a time... of chaos... whole habitats were getting burnt... crops reduced to ashes... water evaporated to the atmosphere...;<size=80%>Foi um tempo... de caos... habitats inteiros queimados... colheitas reduzidas a cinzas... água evaporada para a atmosfera...;<size=80%>那时...整个世界陷入混乱...栖息地被焚毁...庄稼化为灰烬...湖水蒸发殆尽...;<size=80%>那時...整個世界陷入混亂...棲息地被焚毀...莊稼化為灰燼...湖水蒸發殆盡...
ALL DUE TO THOSE DAMN DRAGONS!;TUDO POR CAUSA DAQUELES MALDITOS DRAGÕES!;全都怪那些该死的龙！;全都怪那些該死的龍！
<size=80%>...But then... a skilled assassin started working in the shadows...;<size=80%>...Mas então... um assassino habilidoso começou a trabalhar nas sombras...;<size=80%>...直到...一位神秘刺客开始在暗处行动...;<size=80%>...直到...一位神秘刺客開始在暗處行動...
<size=80%>He killed thousands of dragons... and was a key component... to stop the invasion...;<size=80%>Ele matou milhares de dragões... e foi uma figura importante... para parar a invasão...;<size=80%>他屠杀了上千条龙...成为终止入侵的关键...;<size=80%>他屠殺了上千條龍...成為終止入侵的關鍵...
<size=80%>He would... execute enemies with more health... than it's own;<size=80%>Ele... executava inimigos com mais vida... do que a sua própria;<size=80%>他专门...处决血量比自己最大生命值还高的敌人...;<size=80%>他專門...處決血量比自己最大生命值還高的敵人...
<size=80%>I would love to see... something like that again...;<size=80%>Eu adoraria ver... algo assim novamente...;<size=80%>真想再见识...那样的场面...;<size=80%>真想再見識...那樣的場面...
<size=80%>amazing... you really did discover... how to unlock the full potential of Ki...;<size=80%>incrível... realmente descobriste... como desbloquear todo o potencial do Ki...;<size=80%>太棒了...你真的发掘了...气的全部潜能...;<size=80%>太棒了...你真的發掘了...氣的全部潛能...
<size=80%>but listen... there's a bit more... to this story...;<size=80%>mas ouve... há um pouco mais... nesta história...;<size=80%>不过听着...这个故事...还有后续...;<size=80%>不過聽著...這個故事...還有後續...
<size=80%>the way Ki is manifested... depends a lot on its holder...;<size=80%>a forma como o Ki é manifestado... depende muito do seu recipiente...;<size=80%>气的表现形式...很大程度上取决于使用者...;<size=80%>氣的表現形式...很大程度上取決於使用者...
